_url,_position,constituency,party,candidate,votes,votes/_source,share,share/_source
http://www.bbc.co.uk/news/politics/constituencies/E14000673,3,"Conservative (CON) , with candidate Resham Kotecha , have the following results: 11,650 total votes taken. 22.7% share of the total vote +0.5% change in share of the votes",(CON),", with candidate Resham Kotecha",11650,"11,650",22.7,22.7
http://www.bbc.co.uk/news/politics/constituencies/E14000673,4,"Liberal Democrat (LD) , with candidate James Barber , have the following results: 5,055 total votes taken. 9.8% share of the total vote -17.3% change in share of the votes",(LD),", with candidate James Barber",5055,"5,055",9.8,9.8
http://www.bbc.co.uk/news/politics/constituencies/E14000673,5,"Green Party (GRN) , with candidate Rashid Nix , have the following results: 4,844 total votes taken. 9.4% share of the total vote +6.8% change in share of the votes",(GRN),", with candidate Rashid Nix",4844,"4,844",9.4,9.4
http://www.bbc.co.uk/news/politics/constituencies/E14000673,6,"UKIP (UKIP) , with candidate Rathy Alagaratnam , have the following results: 1,606 total votes taken. 3.1% share of the total vote +1.7% change in share of the votes",(UKIP),", with candidate Rathy Alagaratnam",1606,"1,606",3.1,3.1
http://www.bbc.co.uk/news/politics/constituencies/E14000673,7,"TUSC (TUSC) , with candidate Steve Nally , have the following results: 248 total votes taken. 0.5% share of the total vote +0.5% change in share of the votes",(TUSC),", with candidate Steve Nally",248,248,0.5,0.5
http://www.bbc.co.uk/news/politics/constituencies/E14000673,8,"Independent (IND) , with candidate Robin Lambert , have the following results: 125 total votes taken. 0.2% share of the total vote +0.2% change in share of the votes",(IND),", with candidate Robin Lambert",125,125,0.2,0.2
http://www.bbc.co.uk/news/politics/constituencies/E14000673,9,"All People's Party (APPL) , with candidate Amadu Kanumansa , have the following results: 62 total votes taken. 0.1% share of the total vote +0.1% change in share of the votes",(APPL),", with candidate Amadu Kanumansa",62,62,0.1,0.1
http://www.bbc.co.uk/news/politics/constituencies/E14001044,1,Wirral West,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001044,2,"Labour (LAB) , with candidate Margaret Greenwood , have the following results: 18,898 total votes taken. 45.1% share of the total vote +8.9% change in share of the votes",(LAB),", with candidate Margaret Greenwood",18898,"18,898",45.1,45.1
http://www.bbc.co.uk/news/politics/constituencies/E14001044,3,"Conservative (CON) , with candidate Esther McVey , have the following results: 18,481 total votes taken. 44.2% share of the total vote +1.7% change in share of the votes",(CON),", with candidate Esther McVey",18481,"18,481",44.2,44.2
http://www.bbc.co.uk/news/politics/constituencies/E14001044,4,"UKIP (UKIP) , with candidate Hilary Jones , have the following results: 2,772 total votes taken. 6.6% share of the total vote +4.3% change in share of the votes",(UKIP),", with candidate Hilary Jones",2772,"2,772",6.6,6.6
http://www.bbc.co.uk/news/politics/constituencies/E14001044,5,"Liberal Democrat (LD) , with candidate Peter Reisdorf , have the following results: 1,433 total votes taken. 3.4% share of the total vote -13.4% change in share of the votes",(LD),", with candidate Peter Reisdorf",1433,"1,433",3.4,3.4
http://www.bbc.co.uk/news/politics/constituencies/E14001044,6,"Independent (IND) , with candidate David James , have the following results: 274 total votes taken. 0.7% share of the total vote +0.7% change in share of the votes",(IND),", with candidate David James",274,274,0.7,0.7
http://www.bbc.co.uk/news/politics/constituencies/E14001043,1,Wirral South,,,,,,
http://www.bbc.co.uk/news/politics/constituencies/E14001043,2,"Labour (LAB) , with candidate Alison McGovern , have the following results: 20,165 total votes taken. 48.2% share of the total vote +7.4% change in share of the votes",(LAB),", with candidate Alison McGovern",20165,"20,165",48.2,48.2
